b total,player total,pcard1,pcard2,pcard3,bcard1,bcard2,bcard3,outcome,rounds,banker streak,player streak,tie streak,shoe number
8,7,7,0,,9,9,,banker win,1,1,0,0,1
2,0,0,0,0,7,5,0,banker win,2,2,0,0,1
4,3,3,0,0,0,2,2,banker win,3,3,0,0,1
9,1,5,6,0,4,5,,banker win,4,4,0,0,1
8,6,7,9,,8,2,8,banker win,5,5,0,0,1
9,7,7,0,,9,0,,banker win,6,6,0,0,1
2,8,0,8,,0,2,,player win,7,0,1,0,1
8,1,4,7,,8,0,,banker win,8,1,0,0,1
6,6,8,8,,0,6,,tie,9,1,0,1,1
7,6,0,6,,3,9,5,banker win,10,2,0,0,1
5,6,4,0,2,7,8,5,player win,11,0,1,0,1
1,8,4,0,4,1,0,5,player win,12,0,2,0,1
0,9,2,7,,6,4,5,player win,13,0,3,0,1
3,8,0,0,8,3,0,5,player win,14,0,4,0,1
5,0,0,0,0,3,9,3,banker win,15,1,0,0,1
0,9,0,0,9,1,9,3,player win,16,0,1,0,1
6,5,3,1,1,0,6,3,banker win,17,1,0,0,1
5,3,9,2,2,0,2,3,banker win,18,2,0,0,1
7,9,1,8,,4,3,,player win,19,0,1,0,1
9,5,9,4,2,9,1,9,banker win,20,1,0,0,1
6,3,0,3,0,2,0,4,banker win,21,2,0,0,1
9,7,9,8,,9,0,,banker win,22,3,0,0,1
9,9,5,4,,0,9,,tie,23,3,0,1,1
0,7,7,0,,3,7,0,player win,24,0,1,0,1
6,3,7,8,8,0,6,0,banker win,25,1,0,0,1
7,1,4,0,7,0,7,,banker win,26,2,0,0,1
2,7,0,5,2,5,7,0,player win,27,0,1,0,1
4,8,6,6,6,4,0,0,player win,28,0,2,0,1
6,7,3,4,,0,6,0,player win,29,0,3,0,1
7,3,2,9,2,4,0,3,banker win,30,1,0,0,1
0,7,0,0,7,0,0,0,player win,31,0,1,0,1
0,8,8,0,,0,0,0,player win,32,0,2,0,1
0,8,0,8,,0,0,0,player win,33,0,3,0,1
9,2,2,0,,0,9,,banker win,34,1,0,0,1
7,3,2,8,3,1,6,,banker win,35,2,0,0,1
2,8,1,7,,2,0,,player win,36,0,1,0,1
7,0,0,0,0,7,0,,banker win,37,1,0,0,1
7,6,9,5,2,1,6,,banker win,38,2,0,0,1
6,1,3,8,0,6,0,,banker win,39,3,0,0,1
5,7,7,0,,1,4,,player win,40,0,1,0,1
5,9,2,7,,6,9,,player win,41,0,2,0,1
7,6,7,6,3,1,3,3,banker win,42,1,0,0,1
4,5,4,0,1,5,8,1,player win,43,0,1,0,1
3,8,3,5,,8,5,1,player win,44,0,2,0,1
9,0,9,1,,9,0,,banker win,45,1,0,0,1
1,8,2,1,5,0,1,,player win,46,0,1,0,1
2,0,0,5,5,0,1,8,banker win,47,1,0,0,1
8,5,2,3,5,7,1,,banker win,48,2,0,0,1
7,7,0,0,7,0,4,3,tie,49,2,0,1,1
6,6,6,0,,7,9,3,tie,50,2,0,2,1
7,3,5,0,8,7,0,,banker win,51,3,0,0,1
6,0,0,0,0,2,4,,banker win,52,4,0,0,1
8,9,4,5,,5,3,,player win,53,0,1,0,1
7,7,0,7,,0,3,4,tie,54,0,1,1,1
5,1,0,5,6,5,0,0,banker win,55,1,0,0,1
3,0,0,0,0,3,0,0,banker win,56,2,0,0,1
5,2,0,0,2,1,0,4,banker win,57,3,0,0,1
2,5,9,2,4,5,8,9,player win,58,0,1,0,1
4,6,0,6,,0,4,9,player win,59,0,2,0,1
7,7,5,0,2,0,0,7,tie,60,0,2,1,1
7,4,3,1,0,0,1,6,banker win,61,1,0,0,1
8,0,0,0,0,0,8,,banker win,62,2,0,0,1
8,0,0,0,0,0,8,,banker win,63,3,0,0,1
7,0,2,8,0,5,2,,banker win,64,4,0,0,1
6,8,0,8,,6,0,,player win,65,0,1,0,1
1,8,5,3,,0,1,,player win,66,0,2,0,1
8,4,3,1,,4,4,,banker win,67,1,0,0,1
6,7,1,1,5,6,0,,player win,68,0,1,0,1
1,5,3,2,0,2,1,8,player win,69,0,2,0,1
3,1,8,3,0,0,3,0,banker win,70,1,0,0,1
4,8,8,6,4,8,6,0,player win,71,0,1,0,1
6,7,6,9,2,2,4,0,player win,72,0,2,0,1
7,8,7,1,,7,0,,player win,73,0,3,0,1
3,0,5,0,5,5,5,9,banker win,74,1,0,0,1
8,2,7,6,9,7,5,5,banker win,75,2,0,0,1
0,0,0,0,0,0,0,0,tie,76,2,0,1,1
4,1,6,9,6,6,4,0,banker win,77,3,0,0,1
8,7,8,9,,0,0,8,banker win,78,4,0,0,1
5,0,1,1,8,6,9,8,banker win,79,5,0,0,1
7,1,0,2,9,6,1,,banker win,1,1,0,0,2
1,5,9,6,0,8,5,8,player win,2,0,1,0,2
2,6,0,6,,0,0,9,player win,3,0,2,0,2
7,6,8,8,,0,7,,banker win,4,1,0,0,2
4,6,9,7,,0,0,4,player win,5,0,1,0,2
2,4,0,0,4,4,7,8,player win,6,0,2,0,2
4,9,6,6,7,9,5,8,player win,7,0,3,0,2
5,9,1,8,,5,0,8,player win,8,0,4,0,2
0,3,0,5,8,0,0,0,player win,9,0,5,0,2
9,0,0,0,8,7,2,,banker win,10,1,0,0,2
8,7,1,1,5,8,3,4,banker win,11,2,0,0,2
6,3,3,7,3,3,3,4,banker win,12,3,0,0,2
2,9,0,0,9,7,5,4,player win,13,0,1,0,2
9,9,3,6,,0,9,,tie,14,0,1,1,2
8,9,6,3,,8,0,,player win,15,0,2,0,2
1,8,0,8,,0,1,,player win,16,0,3,0,2
1,9,8,4,7,0,1,,player win,17,0,4,0,2
5,9,7,2,,4,1,,player win,18,0,5,0,2
1,9,5,7,7,1,0,,player win,19,0,6,0,2
0,5,9,6,0,2,9,9,player win,20,0,7,0,2
6,7,0,2,5,0,1,1,player win,21,0,8,0,2
8,4,8,6,5,8,0,,banker win,22,1,0,0,2
1,6,9,7,,1,0,0,player win,23,0,1,0,2
4,8,0,2,6,0,4,0,player win,24,0,2,0,2
0,9,8,1,,0,0,0,player win,25,0,3,0,2
1,7,7,0,,7,4,0,player win,26,0,4,0,2
9,1,1,0,,5,4,,banker win,27,1,0,0,2
2,8,0,8,,2,0,,player win,28,0,1,0,2
2,5,9,6,0,0,2,0,player win,29,0,2,0,2
9,5,4,1,0,9,0,,banker win,30,1,0,0,2
4,4,7,8,9,0,3,1,tie,31,1,0,1,2
5,9,0,9,,5,0,1,player win,32,0,1,0,2
